,Year,target,source,Rice_T_N_kg,Rice_T_P_kg,N_surplus_rice,P_surplus_rice,N_leach_image_rice,P_los_rice,Wheat_T_N_kg,Wheat_T_P_kg,N_leach_image_Wheat,P_loss_wheat,n_leach_r_w,P_leach_r_w,grey_water_r_w_liter,grey_water_r_w_BCM
144,2013,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2013,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2013,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2013,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2013,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2013,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2013,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2013,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2013,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2013,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2013,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2013,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2013,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2013,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2013,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2013,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2013,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2013,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2013,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2013,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2013,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2013,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2013,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2013,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2013,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2013,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2013,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2013,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2013,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2013,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2013,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2013,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2013,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2013,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2013,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2013,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2014,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2014,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2014,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2014,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2014,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2014,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2014,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2014,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2014,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2014,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2014,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2014,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2014,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2014,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2014,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2014,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2014,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2014,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2014,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2014,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2014,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2014,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2014,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2014,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2014,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2014,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2014,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2014,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2014,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2014,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2014,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2014,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2014,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2014,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2014,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2014,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2015,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2015,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2015,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2015,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2015,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2015,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2015,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2015,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2015,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2015,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2015,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2015,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2015,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2015,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2015,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2015,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2015,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2015,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2015,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2015,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2015,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2015,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2015,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2015,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2015,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2015,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2015,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2015,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2015,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2015,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2015,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2015,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2015,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2015,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2015,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2015,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2016,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2016,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2016,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2016,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,2016,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2016,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,2016,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2016,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2016,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2016,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,2016,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,2016,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,2016,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2016,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,2016,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2016,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2016,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2016,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2016,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2016,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2016,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2016,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,2016,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2016,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2016,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,2016,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,2016,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,2016,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2016,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,2016,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,2016,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2016,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,2016,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,2016,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,2016,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,2016,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,2017,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,2017,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,2017,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,2017,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,2017,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,2017,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,2017,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,2017,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,2017,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,2017,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,2017,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,2017,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2017,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2017,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2017,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,2017,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,2017,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2017,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2017,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,2017,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,2017,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,2017,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2017,MP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,2017,MZ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2017,NL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,2017,OD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,2017,PN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2017,PD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,2017,RJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,2017,SK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,2017,TE,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,2017,TN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2017,TR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,2017,UR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,2017,UP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,2017,WB,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,2018,AP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,2018,AN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,2018,AR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,2018,AS,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,2018,BR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,2018,CH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2018,CN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,2018,DD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,2018,DL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,2018,DN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,2018,GA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,2018,GJ,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,2018,HP,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,2018,HR,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,2018,JH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,2018,JK,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,2018,KL,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,2018,KA,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,2018,LD,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,2018,MH,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,2018,ML,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2018,MN,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
